t,dbm
0.008,-56
0.115,-56
0.223,-56
0.33,-55
0.437,-56
0.545,-55
0.653,-55
0.761,-55
0.872,-56
0.981,-56
1.089,-55
1.197,-56
1.305,-56
1.412,-56
1.52,-56
1.631,-56
1.741,-56
1.849,-56
1.957,-56
2.065,-57
2.172,-56
2.28,-56
2.391,-56
2.502,-56
2.61,-56
2.718,-56
2.826,-56
2.933,-55
3.044,-55
3.152,-56
3.26,-56
3.368,-56
3.479,-56
3.589,-56
3.697,-55
3.808,-55
3.92,-56
4.032,-56
4.147,-55
4.262,-56
4.374,-56
4.486,-57
4.598,-56
4.714,-56
4.825,-57
4.937,-56
5.05,-57
5.162,-56
5.277,-56
5.389,-56
5.502,-56
5.614,-56
5.73,-55
5.842,-55
5.955,-55
6.067,-55
6.182,-55
6.298,-57
6.41,-56
6.522,-56
6.635,-56
6.747,-55
6.863,-55
6.975,-55
7.087,-56
7.2,-56
7.312,-56
7.424,-57
7.537,-59
7.649,-58
7.762,-58
7.873,-56
7.988,-55
8.101,-56
8.213,-55
8.324,-55
8.435,-55
8.548,-56
8.66,-56
8.772,-56
8.887,-56
8.999,-55
9.112,-56
9.224,-56
9.338,-56
9.449,-55
9.563,-55
9.678,-55
9.79,-56
9.902,-56
10.014,-56
10.129,-55
10.24,-55
10.353,-55
10.465,-55
10.58,-55
10.696,-55
10.808,-55
10.921,-55
11.033,-56
11.149,-56
11.261,-55
11.372,-56
11.485,-56
11.597,-55
11.713,-55
11.825,-55
11.937,-55
12.05,-56
12.162,-56
12.277,-56
12.388,-56
12.5,-56
12.615,-55
12.73,-55
12.843,-55
12.955,-55
13.071,-55
13.183,-55
13.296,-55
13.407,-55
13.519,-55
13.635,-56
13.747,-56
13.86,-55
13.972,-55
14.086,-55
14.199,-55
14.311,-57
14.422,-57
14.535,-56
14.647,-56
14.762,-56
14.874,-55
14.986,-55
15.098,-55
15.214,-55
15.327,-56
15.438,-55
15.55,-55
15.665,-55
15.778,-55
15.89,-55
16.003,-55
16.119,-55
16.231,-56
16.344,-56
16.455,-55
16.571,-56
16.685,-55
16.797,-56
16.909,-55
17.025,-56
17.139,-56
17.251,-56
17.364,-55
17.478,-56
17.593,-55
17.706,-55
17.818,-55
17.931,-56
18.046,-55
18.159,-56
18.271,-56
18.383,-56
18.497,-55
18.611,-55
18.723,-55
18.836,-55
18.951,-56
19.066,-56
19.179,-55
19.291,-55
19.406,-56
19.518,-56
19.631,-56
19.743,-56
19.855,-56
19.971,-56
20.084,-55
20.196,-55
20.308,-55
20.422,-56
20.535,-55
20.647,-55
20.759,-55
20.875,-55
20.99,-55
21.103,-56
21.215,-55
21.328,-55
21.442,-55
21.554,-55
21.667,-55
21.779,-55
21.894,-56
22.007,-56
22.119,-56
22.232,-55
22.345,-56
22.457,-56
22.571,-56
22.683,-56
22.795,-56
22.907,-56
23.019,-57
23.132,-56
23.244,-56
23.356,-56
23.47,-56
23.584,-56
23.696,-56
23.809,-56
23.922,-56
24.038,-56
24.15,-56
24.263,-56
24.375,-55
24.489,-55
24.602,-55
24.714,-55
24.827,-55
24.942,-55
25.055,-56
25.167,-56
25.28,-56
25.392,-55
25.505,-56
25.618,-56
25.73,-56
25.846,-56
25.961,-55
26.073,-56
26.185,-55
26.297,-55
26.412,-56
26.524,-56
26.636,-55
26.749,-55
26.861,-55
26.974,-55
27.087,-55
27.199,-55
27.314,-55
27.429,-55
27.541,-55
27.653,-55
27.766,-55
27.881,-55
27.993,-55
28.105,-55
28.218,-56
28.334,-56
28.445,-56
28.557,-55
28.67,-55
28.785,-55
28.897,-55
29.008,-55
29.121,-55
29.236,-55
29.348,-56
29.459,-56
29.572,-56
29.684,-55
29.799,-56
29.911,-56
30.024,-56
30.136,-55
30.248,-55
30.363,-55
30.474,-55
30.586,-55
30.699,-55
30.811,-56
30.923,-55
31.036,-55
31.148,-56
31.26,-57
31.375,-57
31.486,-57
31.597,-56
31.709,-56
31.821,-57
31.934,-56
32.046,-56
32.159,-56
32.274,-56
32.387,-56
32.498,-56
32.61,-56
32.722,-55
32.838,-55
32.95,-55
33.062,-57
33.175,-57
33.29,-57
33.402,-56
33.514,-55
33.626,-55
33.742,-56
33.854,-55
33.967,-55
34.079,-55
34.19,-55
34.305,-55
34.417,-57
34.529,-57
34.641,-57
34.757,-56
34.869,-56
34.982,-56
35.094,-56
35.209,-56
35.321,-56
35.432,-56
35.544,-56
35.659,-56
35.773,-55
35.885,-56
35.996,-56
36.109,-55
36.225,-55
36.336,-55
36.449,-55
36.56,-55
36.675,-55
36.787,-56
36.9,-56
37.012,-56
37.124,-56
37.239,-56
37.351,-55
37.462,-55
37.574,-55
37.69,-55
37.802,-55
37.914,-55
38.026,-55
38.142,-56
38.254,-56
38.367,-56
38.479,-55
38.591,-55
38.707,-55
38.819,-55
38.932,-56
39.044,-56
39.159,-56
39.271,-56
39.383,-56
39.496,-56
39.608,-56
39.721,-55
39.834,-55
39.946,-55
40.058,-56
40.174,-56
40.287,-56
40.399,-55
40.511,-55
40.626,-55
40.738,-55
40.851,-55
40.963,-56
41.079,-56
41.19,-57
41.302,-56
41.414,-56
41.53,-55
41.642,-55
41.755,-55
41.867,-56
41.983,-56
42.098,-55
42.211,-55
42.323,-55
42.438,-56
42.55,-56
42.663,-55
42.775,-55
42.89,-56
43.006,-56
43.118,-56
43.231,-55
43.344,-55
43.459,-56
43.574,-56
43.687,-56
43.799,-56
43.914,-56
44.03,-55
44.142,-55
44.253,-56
44.366,-55
44.481,-55
44.593,-55
44.706,-56
44.817,-55
44.929,-53
