t,dbm
0.008,-62
0.116,-61
0.223,-60
0.33,-61
0.438,-62
0.545,-61
0.653,-61
0.761,-61
0.872,-60
0.98,-59
1.088,-60
1.196,-60
1.303,-60
1.411,-60
1.519,-60
1.627,-61
1.737,-60
1.845,-62
1.953,-62
2.061,-61
2.169,-61
2.276,-61
2.384,-61
2.495,-60
2.602,-60
2.71,-61
2.818,-61
2.926,-62
3.033,-61
3.141,-61
3.249,-61
3.36,-60
3.468,-60
3.576,-61
3.684,-60
3.791,-60
3.903,-59
4.016,-60
4.131,-61
4.244,-62
4.355,-62
4.467,-65
4.579,-65
4.692,-61
4.808,-58
4.92,-57
5.032,-58
5.145,-59
5.257,-61
5.371,-61
5.483,-61
5.596,-59
5.708,-60
5.82,-59
5.933,-60
6.045,-59
6.157,-59
6.27,-59
6.381,-59
6.493,-61
6.605,-61
6.718,-60
6.833,-59
6.948,-60
7.06,-62
7.173,-62
7.288,-62
7.402,-63
7.514,-63
7.626,-65
7.738,-65
7.85,-65
7.962,-63
8.074,-62
8.186,-62
8.298,-61
8.411,-60
8.524,-59
8.636,-58
8.748,-58
8.861,-58
8.973,-59
9.084,-59
9.2,-59
9.314,-58
9.426,-58
9.537,-60
9.65,-63
9.765,-63
9.88,-65
9.992,-65
10.104,-65
10.217,-62
10.328,-63
10.44,-62
10.552,-61
10.665,-59
10.777,-60
10.889,-60
11.004,-60
11.118,-60
11.23,-60
11.343,-60
11.455,-59
11.567,-59
11.68,-59
11.792,-64
11.903,-65
12.016,-64
12.128,-57
12.243,-50
12.355,-49
12.466,-53
12.578,-55
12.694,-54
12.809,-52
12.921,-47
13.033,-46
13.145,-49
13.259,-50
13.373,-52
13.488,-54
13.6,-58
13.715,-59
13.827,-56
13.939,-59
14.052,-62
14.167,-63
14.279,-63
14.392,-63
14.504,-62
14.615,-62
14.727,-61
14.843,-61
14.955,-62
15.067,-62
15.18,-62
15.295,-62
15.407,-61
15.521,-59
15.633,-60
15.746,-61
15.858,-62
15.973,-62
16.086,-61
16.198,-60
16.311,-60
16.422,-60
16.537,-59
16.649,-59
16.762,-58
16.874,-58
16.986,-58
17.102,-58
17.217,-57
17.328,-57
17.44,-57
17.553,-58
17.665,-57
17.777,-57
17.892,-57
18.004,-56
18.117,-56
18.231,-56
18.344,-59
18.455,-61
18.567,-62
18.682,-62
18.798,-61
18.91,-61
19.022,-59
19.134,-50
19.246,-49
19.357,-47
19.472,-46
19.584,-46
19.696,-47
19.808,-48
19.922,-48
20.034,-47
20.149,-47
20.261,-46
20.372,-46
20.485,-47
20.597,-48
