t,dbm
0.008,-63
0.115,-63
0.223,-63
0.33,-63
0.437,-62
0.545,-63
0.653,-62
0.761,-62
0.869,-62
0.98,-62
1.09,-62
1.198,-61
1.306,-58
1.414,-58
1.521,-59
1.629,-60
1.74,-60
1.85,-60
1.958,-59
2.066,-59
2.174,-59
2.282,-59
2.389,-59
2.5,-58
2.61,-59
2.718,-60
2.826,-61
2.938,-61
3.053,-62
3.168,-62
3.28,-61
3.393,-61
3.508,-61
3.623,-59
3.736,-59
3.849,-59
3.961,-61
4.076,-61
4.188,-62
4.3,-62
4.413,-60
4.528,-59
4.64,-58
4.753,-57
4.867,-57
4.983,-58
5.097,-59
5.21,-60
5.325,-59
5.442,-60
5.556,-62
5.669,-64
5.783,-66
5.902,-65
6.015,-65
6.128,-64
6.243,-63
6.358,-64
6.471,-64
6.583,-65
6.696,-65
6.811,-65
6.924,-64
7.036,-64
7.151,-64
7.267,-64
7.379,-64
7.492,-64
7.607,-63
7.722,-63
7.835,-62
7.947,-62
8.063,-63
8.178,-64
8.29,-63
8.403,-63
8.515,-63
8.63,-63
8.744,-63
8.856,-63
8.971,-63
9.087,-63
9.2,-63
9.312,-63
9.42,-63
9.53,-61
9.641,-60
9.749,-60
9.857,-60
9.966,-60
10.079,-60
10.194,-60
10.307,-61
10.419,-61
10.531,-61
10.647,-60
10.76,-60
10.871,-61
10.983,-61
11.099,-60
11.214,-59
11.326,-58
11.438,-58
11.554,-58
11.67,-57
11.782,-57
11.893,-57
12.008,-57
12.123,-56
12.236,-56
12.348,-56
12.463,-56
12.578,-56
12.691,-56
12.803,-56
12.917,-56
13.032,-56
13.144,-57
13.256,-57
13.372,-57
13.487,-57
13.6,-59
13.712,-60
13.827,-60
13.942,-61
14.054,-61
14.166,-60
14.279,-60
14.394,-61
14.507,-61
14.619,-62
14.731,-63
14.845,-63
14.96,-61
15.072,-61
15.184,-61
15.3,-62
15.415,-62
15.527,-62
15.64,-61
15.755,-61
15.87,-61
15.983,-62
16.094,-61
16.206,-61
16.321,-61
16.434,-61
16.546,-60
16.657,-60
16.773,-60
16.887,-61
16.999,-61
17.112,-61
17.227,-61
17.34,-61
17.452,-61
17.564,-62
17.68,-61
17.795,-61
17.908,-61
18.02,-60
18.135,-60
18.25,-61
18.363,-61
18.475,-62
18.59,-62
18.706,-61
18.818,-61
18.929,-61
19.045,-61
19.16,-61
19.272,-61
19.384,-61
19.5,-61
19.615,-60
19.728,-61
19.839,-61
19.954,-61
20.07,-61
20.182,-61
20.294,-62
20.407,-61
20.522,-60
20.634,-60
20.747,-60
20.859,-61
20.975,-61
21.087,-61
21.2,-61
21.312,-61
21.427,-61
21.54,-61
21.652,-61
21.764,-60
21.879,-60
21.993,-61
22.105,-60
22.217,-60
22.333,-61
22.447,-61
22.559,-61
22.671,-61
22.783,-61
22.898,-61
23.01,-62
23.122,-63
23.234,-63
23.35,-63
23.462,-63
23.575,-63
23.687,-63
23.802,-63
23.914,-63
24.026,-63
24.138,-63
24.253,-63
24.369,-63
24.481,-63
24.593,-63
24.709,-63
24.823,-63
24.935,-63
25.048,-62
25.163,-62
25.279,-62
25.391,-62
25.503,-60
25.619,-59
25.735,-57
25.846,-57
25.958,-57
26.07,-57
26.186,-56
26.298,-57
26.411,-57
26.523,-58
26.638,-59
26.75,-60
26.863,-60
26.975,-60
27.09,-60
27.206,-60
27.318,-59
27.431,-59
27.546,-57
27.661,-58
27.774,-58
27.886,-57
28.001,-58
28.117,-58
28.229,-57
28.341,-57
28.457,-57
28.572,-57
28.684,-56
28.796,-57
28.912,-57
29.027,-58
29.139,-59
29.252,-59
29.367,-58
29.483,-59
29.595,-59
29.707,-59
29.82,-58
29.934,-58
30.047,-57
30.158,-58
30.27,-57
30.386,-58
30.498,-58
30.611,-58
30.723,-58
30.838,-58
30.952,-58
31.064,-58
31.176,-58
31.292,-58
31.407,-57
31.519,-58
31.632,-58
31.748,-58
31.863,-58
31.975,-58
32.087,-58
32.203,-58
32.318,-57
32.429,-57
32.542,-57
32.657,-57
32.772,-57
32.884,-57
32.996,-58
33.112,-59
33.227,-60
33.339,-60
33.452,-59
33.567,-59
33.682,-59
33.794,-59
33.906,-59
34.018,-59
34.133,-59
34.246,-59
34.358,-58
34.47,-57
34.585,-57
34.7,-58
34.811,-58
34.923,-57
35.038,-58
35.154,-57
35.266,-58
35.378,-58
35.494,-58
35.609,-58
35.722,-58
35.833,-58
35.948,-58
36.063,-58
36.175,-59
36.288,-58
36.4,-59
36.515,-59
36.628,-59
36.74,-59
36.852,-59
36.967,-59
37.08,-59
37.192,-58
37.303,-58
37.418,-58
37.533,-59
37.644,-59
37.756,-58
37.872,-58
37.987,-59
38.099,-58
38.212,-59
38.323,-59
38.438,-59
38.551,-60
38.663,-60
38.774,-59
38.889,-59
39.002,-59
39.114,-59
39.226,-59
39.342,-59
39.455,-59
39.567,-59
39.68,-59
39.794,-59
39.91,-59
40.022,-59
40.134,-59
40.25,-59
40.365,-58
40.477,-58
40.59,-59
40.705,-59
40.821,-59
40.933,-59
41.045,-59
41.161,-59
41.276,-59
41.388,-59
41.5,-59
41.616,-59
41.731,-59
41.842,-59
41.953,-59
42.069,-59
42.184,-59
42.296,-59
42.407,-59
42.52,-58
42.635,-58
42.746,-58
42.859,-58
42.971,-59
43.086,-59
43.2,-59
43.312,-59
43.425,-59
43.54,-59
43.655,-59
43.768,-59
43.879,-58
43.991,-58
44.106,-58
44.219,-59
44.331,-59
44.444,-59
44.559,-59
44.672,-58
44.784,-58
44.895,-57
45.01,-58
45.124,-58
45.236,-58
45.348,-58
45.464,-58
45.579,-58
45.69,-59
45.802,-59
45.916,-59
46.032,-59
46.144,-58
46.255,-58
46.367,-58
46.483,-58
46.595,-59
46.706,-59
46.818,-59
46.933,-59
47.047,-59
47.159,-59
47.271,-59
47.386,-59
47.501,-58
47.613,-58
47.726,-58
47.839,-58
47.955,-59
48.067,-59
48.179,-59
48.292,-59
48.407,-59
48.52,-59
48.631,-59
48.744,-59
48.859,-59
48.975,-59
49.087,-59
49.199,-59
49.315,-58
49.43,-58
49.543,-59
49.655,-59
49.77,-59
49.885,-58
49.998,-58
50.11,-58
50.226,-58
50.341,-58
50.453,-58
50.566,-58
50.681,-58
50.797,-58
50.909,-58
51.021,-59
51.137,-59
51.252,-59
51.364,-59
51.476,-59
51.589,-58
51.704,-58
51.816,-58
51.929,-59
52.041,-58
52.156,-58
52.269,-58
52.381,-58
52.493,-57
52.609,-57
52.723,-58
52.834,-58
52.946,-58
53.059,-58
53.174,-58
53.287,-58
53.399,-58
53.511,-58
53.624,-58
53.74,-58
53.851,-58
53.963,-58
54.076,-58
54.191,-58
54.304,-58
54.416,-58
54.531,-58
54.647,-58
54.759,-57
54.871,-57
54.983,-57
55.099,-57
55.211,-57
55.323,-58
55.436,-58
55.551,-58
55.665,-59
55.776,-59
55.888,-58
56.004,-58
56.119,-59
56.231,-60
56.343,-60
56.455,-60
56.57,-60
56.683,-59
56.794,-58
56.906,-58
57.022,-57
57.136,-57
57.248,-57
57.36,-57
57.476,-57
57.591,-57
57.704,-57
57.816,-57
57.928,-57
58.043,-57
58.156,-57
58.269,-57
58.381,-57
58.496,-57
58.608,-57
58.72,-57
58.832,-57
58.944,-58
59.059,-58
59.172,-57
59.284,-57
59.399,-57
59.515,-57
59.628,-57
59.741,-57
59.855,-57
59.971,-57
