t,dbm
0.008,-65
0.115,-64
0.222,-62
0.333,-62
0.44,-62
0.548,-62
0.656,-62
0.767,-63
0.875,-62
0.985,-62
1.093,-62
1.201,-61
1.309,-62
1.416,-65
1.524,-65
1.632,-63
1.743,-61
1.854,-58
1.962,-58
2.07,-54
2.178,-54
2.286,-53
2.393,-53
2.501,-55
2.609,-54
2.72,-54
2.831,-54
2.939,-54
3.046,-54
3.154,-55
3.262,-57
3.37,-58
3.481,-58
3.588,-54
3.696,-53
3.808,-53
3.92,-51
4.033,-51
4.145,-51
4.258,-51
4.37,-53
4.481,-54
4.593,-54
4.705,-54
4.818,-54
4.93,-54
5.042,-55
5.155,-55
5.267,-54
5.379,-56
5.495,-56
5.608,-54
5.72,-53
5.832,-51
5.944,-52
6.057,-52
6.172,-54
6.285,-55
6.397,-55
6.509,-54
6.621,-54
6.733,-56
6.846,-56
6.958,-55
7.07,-55
7.185,-55
7.298,-57
7.41,-55
7.522,-53
7.634,-52
7.748,-52
7.86,-50
7.975,-51
8.088,-51
8.2,-54
8.316,-57
8.428,-56
8.541,-54
8.653,-54
8.765,-52
8.877,-51
8.99,-50
9.104,-48
9.217,-47
9.329,-46
9.442,-46
9.556,-46
9.668,-47
9.781,-48
9.893,-49
10.005,-46
10.12,-45
10.236,-43
10.351,-43
10.464,-41
10.576,-42
10.688,-42
10.804,-42
10.916,-41
11.029,-40
11.14,-39
11.252,-39
11.364,-38
11.48,-38
11.592,-35
11.703,-34
11.815,-36
11.929,-36
12.044,-36
12.156,-34
12.269,-40
12.384,-44
12.499,-45
12.614,-44
12.726,-42
12.838,-39
12.95,-37
13.063,-37
13.175,-42
13.287,-52
13.4,-52
13.512,-56
13.623,-55
13.735,-56
13.851,-57
13.963,-55
14.076,-53
14.188,-51
14.3,-51
14.413,-52
14.524,-52
14.636,-52
14.748,-49
14.86,-47
14.973,-48
15.084,-48
15.196,-51
15.309,-51
15.421,-51
15.535,-49
15.649,-51
15.761,-52
15.873,-53
15.985,-56
16.1,-57
16.216,-58
16.328,-57
16.44,-56
16.552,-56
16.664,-56
16.777,-56
16.889,-56
17.001,-56
17.113,-58
17.228,-62
17.344,-63
17.459,-64
17.572,-64
17.684,-62
17.796,-61
17.909,-62
18.024,-62
18.137,-63
18.248,-63
18.36,-64
18.473,-64
18.585,-64
18.697,-66
18.81,-66
18.922,-61
19.035,-58
19.147,-58
19.26,-57
19.372,-56
19.486,-57
19.598,-58
19.71,-59
19.822,-60
19.938,-61
20.053,-62
20.165,-62
20.277,-61
20.39,-61
20.501,-62
