t,dbm
0.012,-55
0.124,-55
0.24,-56
0.352,-55
0.468,-55
0.583,-55
0.697,-56
0.814,-55
0.93,-56
1.044,-56
1.157,-56
1.276,-56
1.398,-56
1.51,-56
1.623,-55
1.735,-55
1.848,-55
1.96,-55
2.068,-56
2.176,-56
2.284,-56
2.394,-56
2.502,-56
2.614,-55
2.726,-55
2.839,-55
2.951,-55
3.066,-55
3.178,-56
3.29,-56
3.403,-56
3.518,-55
3.63,-55
3.742,-55
3.855,-56
3.97,-56
4.083,-55
4.196,-55
4.308,-55
4.42,-55
4.536,-55
4.648,-53
4.761,-51
4.873,-51
4.988,-51
5.102,-51
5.214,-51
5.326,-51
5.442,-51
5.556,-51
5.668,-51
5.781,-50
5.893,-51
6.008,-51
6.121,-51
6.233,-50
6.346,-51
6.461,-51
6.574,-51
6.686,-51
6.798,-51
6.914,-51
7.029,-51
7.142,-51
7.254,-51
7.37,-51
7.485,-51
7.598,-50
7.71,-50
7.825,-50
7.94,-50
8.053,-50
8.165,-50
8.277,-50
8.392,-50
8.504,-51
8.617,-50
8.728,-50
8.843,-50
8.954,-50
9.067,-50
9.179,-50
9.294,-50
9.408,-50
9.52,-50
9.632,-50
9.748,-50
9.864,-50
9.976,-50
10.089,-51
10.204,-51
10.32,-50
10.432,-50
10.544,-50
10.656,-50
10.771,-50
10.884,-50
10.996,-50
11.108,-50
11.221,-50
11.333,-50
11.448,-50
11.564,-50
11.676,-50
11.789,-50
11.901,-51
12.014,-52
12.129,-52
12.24,-51
12.352,-50
12.464,-50
12.579,-50
12.692,-49
12.804,-50
12.916,-50
13.028,-51
13.141,-51
13.256,-51
13.369,-51
13.48,-51
13.593,-50
13.708,-49
13.822,-49
13.934,-50
14.046,-50
14.159,-50
14.274,-50
14.386,-50
14.498,-49
14.61,-50
14.722,-50
14.838,-50
14.95,-50
15.062,-52
15.175,-52
15.287,-53
15.399,-53
15.51,-53
15.626,-53
15.738,-53
15.851,-53
15.963,-53
16.075,-54
16.191,-54
16.305,-55
16.418,-55
16.529,-55
16.641,-55
16.752,-55
16.868,-55
16.98,-55
17.093,-55
17.205,-55
17.32,-55
17.432,-55
17.544,-56
17.656,-55
17.772,-55
17.884,-54
17.997,-54
18.109,-55
18.225,-55
18.338,-55
18.45,-55
18.563,-54
18.678,-54
18.793,-55
18.906,-55
19.018,-55
19.133,-55
19.246,-55
19.358,-55
19.469,-55
